SKU,PRODUCT NAME,VENDOR,COST,PRICE,PROFIT,MARGIN,PRODUCT CATEGORY,OVERALL PRODUCT CATEGORY,SKU - 2
DETO3A-3048-6PY,2-Sided Adjustable Shelf Truck with Open Angle Ends - 30 in x 48 in / 2,Little Giant,$807.64 ,"$1,153.77 ",$346.13 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DETO3A-3048-6PY
DETO3A-3060-6PY,2-Sided Adjustable Shelf Truck with Open Angle Ends - 30 in x 60 in / 2,Little Giant,$890.50 ,"$1,272.14 ",$381.64 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DETO3A-3060-6PY
DETS2A-2448-6PY,2-Sided Adjustable Shelf Truck with Solid Panel Ends,Little Giant,$844.89 ,"$1,206.99 ",$362.10 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DETS2A-2448-6PY
DETS2A-2460-6PY,2-Sided Adjustable Shelf Truck with Solid Panel Ends - 24 in x 60 in / 1,Little Giant,$879.32 ,"$1,256.17 ",$376.85 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DETS2A-2460-6PY
DETS2A-3048-6PY,2-Sided Adjustable Shelf Truck with Solid Panel Ends - 30 in x 48 in / 1,Little Giant,$897.10 ,"$1,281.57 ",$384.47 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DETS2A-3048-6PY
DETS2A-3060-6PY,2-Sided Adjustable Shelf Truck with Solid Panel Ends - 30 in x 60 in / 1,Little Giant,$954.09 ,"$1,362.99 ",$408.90 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DETS2A-3060-6PY
DETS3A-2448-6PY,2-Sided Adjustable Shelf Truck with Solid Panel Ends - 24 in x 48 in / 2,Little Giant,$844.89 ,"$1,206.99 ",$362.10 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DETS3A-2448-6PY
DETS3A-2460-6PY,2-Sided Adjustable Shelf Truck with Solid Panel Ends - 24 in x 60 in / 2,Little Giant,$883.80 ,"$1,262.57 ",$378.77 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DETS3A-2460-6PY
DETS3A-3048-6PY,2-Sided Adjustable Shelf Truck with Solid Panel Ends - 30 in x 48 in / 2,Little Giant,$897.10 ,"$1,281.57 ",$384.47 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DETS3A-3048-6PY
DETS3A-3060-6PY,2-Sided Adjustable Shelf Truck with Solid Panel Ends - 30 in x 60 in / 2,Little Giant,$954.09 ,"$1,362.99 ",$408.90 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DETS3A-3060-6PY
DF55-2148,DF55 Economy Series: Top Manual Pallet Truck - 21 in.,Noblelift,$323.00 ,$430.67 ,$107.67 ,25.00%,Manual Pallet Jacks,Material Handling Equipment,DF55-2148
DF55-2748,DF55 Economy Series: Top Manual Pallet Truck,Noblelift,$323.00 ,$430.67 ,$107.67 ,25.00%,Manual Pallet Jacks,Material Handling Equipment,DF55-2748
DG24L,Door Track Protector - Left,Bluff Manufacturing,$68.49 ,$97.85 ,$29.36 ,30.00%,Other,Warehouse Protection,DG24L
DG24R,Door Track Protector - Right,Bluff Manufacturing,$68.49 ,$97.85 ,$29.36 ,30.00%,Bollards & Protectors,Warehouse Protection,DG24R
DG36L,"Door Track Protector - Left - 36""",Bluff Manufacturing,$76.47 ,$109.25 ,$32.78 ,30.00%,Bollards & Protectors,Warehouse Protection,DG36L
DG36R,"Door Track Protector - Right - 36""",Bluff Manufacturing,$76.47 ,$109.25 ,$32.78 ,30.00%,Bollards & Protectors,Warehouse Protection,DG36R
DG48L,"Door Track Protector - Left - 48""",Bluff Manufacturing,$60.00 ,$122.55 ,$62.55 ,51.00%,Other,Warehouse Protection,DG48L
DG48R,"Door Track Protector - Right - 48""",Bluff Manufacturing,$60.00 ,$122.55 ,$62.55 ,51.00%,Other,Warehouse Protection,DG48R
DGA,Down Guard Adapter Pair for Handle It Guard Rail (DGA ONLY),Handle-It,$36.60 ,$66.50 ,$29.90 ,45.00%,Guard Rail,Warehouse Protection,DGA
DGB33-2143,"DGB33 Ergo Lift: Powerful & Efficient Electric Scissor Lift - 21""",Noblelift,"$1,785.00 ","$2,380.00 ",$595.00 ,25.00%,BLANK,BLANK,DGB33-2143
DGB33-2148,"DGB33 Ergo Lift: Powerful & Efficient Electric Scissor Lift - 21""",Noblelift,,,,,Scissor Lifts,Material Handling Equipment,DGB33-2148
DGB33-271,,Noblelift,,,,,Scissor Lifts,Material Handling Equipment,DGB33-271
DGB33-2743,DGB33 Ergo Lift: Powerful & Efficient Electric Scissor Lift,Noblelift,"$1,785.00 ","$2,380.00 ",$595.00 ,25.00%,Scissor Lifts,Material Handling Equipment,DGB33-2743
DGB33-2748,"DGB33 Ergo Lift: Powerful & Efficient Electric Scissor Lift - 27""",Noblelift,,,,,Scissor Lifts,Material Handling Equipment,DGB33-2748
26H2-24TT,Standard Rolastair Rolling Ladder - 26in Top Width - 19 / Traction Tread / 24,Wildeck,$324.00 ,$648.00 ,$324.00 ,50.00%,BLANK,BLANK,26H2-24TT
26H3-12DP,Standard Rolastair Rolling Ladder - 26in Top Width - 28-1/2 / Diamond Plate / 12,Wildeck,$303.50 ,$607.00 ,$303.50 ,50.00%,BLANK,BLANK,26H3-12DP
26H3-12SG,Standard Rolastair Rolling Ladder - 26in Top Width - 28-1/2 / Safety Grating / 12,Wildeck,$334.00 ,$668.00 ,$334.00 ,50.00%,BLANK,BLANK,26H3-12SG
26H3-12TT,Standard Rolastair Rolling Ladder - 26in Top Width - 28-1/2 / Traction Tread / 12,Wildeck,$286.00 ,$572.00 ,$286.00 ,50.00%,BLANK,BLANK,26H3-12TT
26H3-24DP,Standard Rolastair Rolling Ladder - 26in Top Width - 28-1/2 / Diamond Plate / 24,Wildeck,$409.50 ,$819.00 ,$409.50 ,50.00%,BLANK,BLANK,26H3-24DP
26H3-24SG,Standard Rolastair Rolling Ladder - 26in Top Width - 28-1/2 / Safety Grating / 24,Wildeck,$450.00 ,$900.00 ,$450.00 ,50.00%,BLANK,BLANK,26H3-24SG
26H3-24TT,Standard Rolastair Rolling Ladder - 26in Top Width - 28-1/2 / Traction Tread / 24,Wildeck,$387.00 ,$774.00 ,$387.00 ,50.00%,BLANK,BLANK,26H3-24TT
26H4-12DP,Standard Rolastair Rolling Ladder - 26in Top Width - 38 / Diamond Plate / 12,Wildeck,$298.00 ,$596.00 ,$298.00 ,50.00%,BLANK,BLANK,26H4-12DP
26H4-12SG,Standard Rolastair Rolling Ladder - 26in Top Width - 38 / Safety Grating / 12,Wildeck,$328.50 ,$657.00 ,$328.50 ,50.00%,BLANK,BLANK,26H4-12SG
26H4-12TT,Standard Rolastair Rolling Ladder - 26in Top Width - 38 / Traction Tread / 12,Wildeck,$282.00 ,$564.00 ,$282.00 ,50.00%,BLANK,BLANK,26H4-12TT
26H4-24DP,Standard Rolastair Rolling Ladder - 26in Top Width - 38 / Diamond Plate / 24,Wildeck,$457.50 ,$915.00 ,$457.50 ,50.00%,BLANK,BLANK,26H4-24DP
26H4-24SG,Standard Rolastair Rolling Ladder - 26in Top Width - 38 / Safety Grating / 24,Wildeck,$502.50 ,"$1,005.00 ",$502.50 ,50.00%,BLANK,BLANK,26H4-24SG
26H4-24TT,Standard Rolastair Rolling Ladder - 26in Top Width - 38 / Traction Tread / 24,Wildeck,$430.50 ,$861.00 ,$430.50 ,50.00%,BLANK,BLANK,26H4-24TT
26H5-12DP,Standard Rolastair Rolling Ladder - 26in Top Width - 47-1/2 / Diamond Plate / 12,Wildeck,$387.50 ,$775.00 ,$387.50 ,50.00%,BLANK,BLANK,26H5-12DP
26H5-12SG,Standard Rolastair Rolling Ladder - 26in Top Width - 47-1/2 / Safety Grating / 12,Wildeck,$426.00 ,$852.00 ,$426.00 ,50.00%,BLANK,BLANK,26H5-12SG
26H5-12TT,Standard Rolastair Rolling Ladder - 26in Top Width - 47-1/2 / Traction Tread / 12,Wildeck,$366.00 ,$732.00 ,$366.00 ,50.00%,BLANK,BLANK,26H5-12TT
DL1,No Tilt Drum Lifter,Meco-Omaha,$179.46 ,$299.10 ,$119.64 ,40.00%,Other,Material Handling Equipment,DL1
26H5-24DP,Standard Rolastair Rolling Ladder - 26in Top Width - 47-1/2 / Diamond Plate / 24,Wildeck,$493.00 ,$986.00 ,$493.00 ,50.00%,BLANK,BLANK,26H5-24DP
26H5-24SG,Standard Rolastair Rolling Ladder - 26in Top Width - 47-1/2 / Safety Grating / 24,Wildeck,$542.50 ,"$1,085.00 ",$542.50 ,50.00%,BLANK,BLANK,26H5-24SG
DLY-2415,Mobile Dolly,Quantum Storage Systems,$83.34 ,$138.90 ,$55.56 ,40.00%,Carts & Dollies,"Carts, Hand Trucks & Dollies",DLY-2415
DLY-3018,Plastic Mobile Dolly,Quantum Storage Systems,$81.48 ,$135.80 ,$54.32 ,40.00%,Carts & Dollies,"Carts, Hand Trucks & Dollies",DLY-3018
DOCUMENT FEE,,Bluff Manufacturing,"$1,075.00 ","$1,433.00 ",$358.00 ,25.00%,Other,Accessories,DOCUMENT FEE
DPC-2200-US,Dual Pressure Cleaner,Makinex,"$1,600.00 ","$2,666.67 ","$1,066.67 ",40.00%,BLANK,BLANK,DPC-2200-US
DPR12,12-Drum Heavy-Duty Storage Rack - Versatile & Easy Assembly - Starter / 84 H x 105 W,Meco-Omaha,$814.50 ,"$1,253.08 ",$438.58 ,35.00%,Racking,BLANK,DPR12
DPR12-A,12-Drum Heavy-Duty Storage Rack - Versatile & Easy Assembly,Meco-Omaha,$722.84 ,"$1,112.06 ",$389.22 ,35.00%,Racking,BLANK,DPR12-A
DPR16,12-Drum Heavy-Duty Storage Rack - Versatile & Easy Assembly - Starter / 120 H x 105 W,Meco-Omaha,"$1,087.24 ","$1,672.68 ",$585.44 ,35.00%,Racking,Warehouse Protection,DPR16
DPR16-A,12-Drum Heavy-Duty Storage Rack - Versatile & Easy Assembly,Meco-Omaha,$964.41 ,"$1,483.71 ",$519.30 ,35.00%,Racking,BLANK,DPR16-A
DPW-2500-0A-HU-50,Makinex Dual Pressure Washer (2500 PSI),Makinex,"$1,900.00 ","$3,166.67 ","$1,266.67 ",40.00%,BLANK,BLANK,DPW-2500-0A-HU-50
DPW-4000-0A-VU-50,Makinex Dual Pressure Washer (4000 PSI),Makinex,"$2,900.00 ","$4,833.33 ","$1,933.33 ",40.00%,Pressure Washer,Material Handling Equipment,DPW-4000-0A-VU-50
DPW-4000-OA-HU,,Makinex,,,,,Pressure Washer,Material Handling Equipment,DPW-4000-OA-HU
DR-3060-6PY,Double End Rack Platform Truck,Little Giant,$466.93 ,$667.04 ,$200.11 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DR-3060-6PY
DR3,Drum Storage Rack,Meco-Omaha,$265.67 ,$442.78 ,$177.11 ,40.00%,Racking,Warehouse Protection,DR3
DR4,Drum Storage Rack,Meco-Omaha,$265.86 ,$443.10 ,$177.24 ,40.00%,Racking,Warehouse Protection,DR4
DR6-3H,Drum Storage Rack,Meco-Omaha,$360.14 ,$600.23 ,$240.09 ,40.00%,Racking,Warehouse Protection,DR6-3H
DR9,Drum Storage Rack,Meco-Omaha,$486.04 ,$810.07 ,$324.03 ,40.00%,Racking,Warehouse Protection,DR9
26H5-24TT,Standard Rolastair Rolling Ladder - 26in Top Width - 47-1/2 / Traction Tread / 24,Wildeck,$465.50 ,$931.00 ,$465.50 ,50.00%,BLANK,BLANK,26H5-24TT
DRB-12-G,,Quality Material Handling,,,,,Wire Decking,Warehouse Protection,DRB-12-G
DRB-18-G,,Quality Material Handling,,,,,Wire Decking,Warehouse Protection,DRB-18-G
DRB-24-G,,Quality Material Handling,,,,,Wire Decking,Warehouse Protection,DRB-24-G
DRB-3060-6PY,Double End Rack Platform Truck w/ Side Rack,Little Giant,$538.01 ,$768.59 ,$230.58 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DRB-3060-6PY
DRB-36-G,,Quality Material Handling,,,,,Wire Decking,Warehouse Protection,DRB-36-G
DRB-48-G,,Quality Material Handling,,,,,Wire Decking,Warehouse Protection,DRB-48-G
DRB-60-G,,Quality Material Handling,,,,,Wire Decking,Warehouse Protection,DRB-60-G
DRB-72-G,,Quality Material Handling,,,,,Wire Decking,Warehouse Protection,DRB-72-G
DRB-96-G,,Quality Material Handling,,,,,Wire Decking,Warehouse Protection,DRB-96-G
DRBZ-24-G,"BOLTLESS SHELVING DOUBLE RIVET Z-BEAM 24"" LONG 14 GA GREY",Quality Material Handling,$1.50 ,$3.42 ,$1.92 ,56.10%,Wire Decking,Warehouse Protection,DRBZ-24-G
DRBZ-36-G,,Quality Material Handling,,,,,Wire Decking,Warehouse Protection,DRBZ-36-G
